DISTRICT,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Area
DAVANAGERE,1,10,1,0,0,0,35,299,6,261,Peaceful Area
DCP BBSR,0,1,0,0,0,0,81,216,0,35,Peaceful Area
DEHRADUN,6,9,3,0,0,1,13,82,0,2,Peaceful Area
DEOGARH,0,10,1,0,1,0,41,25,12,46,Peaceful Area
DEOGHAR,9,5,1,0,0,2,30,118,10,55,Peaceful Area
DHALAI,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DHAMTARI,1,20,1,0,0,0,3,2,0,83,Peaceful Area
DHANBAD,0,6,0,2,0,2,34,175,0,143,Peaceful Area
DHANBAD RLY.,0,0,0,0,0,0,0,7,0,3,Peaceful Area
DHAR,12,33,6,0,0,1,90,0,0,155,Peaceful Area
DHARMAPURI,5,7,1,0,0,0,74,279,0,71,Peaceful Area
DHARWAD COMMR.,2,2,0,1,0,0,1,117,0,102,Peaceful Area
DHARWAD RURAL,8,2,0,0,0,0,29,182,0,138,Peaceful Area
DHEMAJI,0,8,15,0,6,2,36,0,0,33,Peaceful Area
DHUBRI,0,2,0,0,0,0,2,1,0,11,Peaceful Area
DIBANG VALLEY,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DIBRUGARH,3,3,2,5,3,1,21,0,0,38,Peaceful Area
DIMAPUR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DINDIGUL,0,4,0,0,0,0,2,386,42,9,Peaceful Area
DINDORI,2,21,1,0,0,0,7,19,0,29,Peaceful Area
DIU,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DODA,0,0,0,0,0,0,0,0,2,0,Peaceful Area
DRP,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DUMKA,4,16,9,0,0,1,52,108,2,42,Peaceful Area
DUNGARPUR,0,2,0,0,0,0,3,17,0,89,Peaceful Area
DURG,8,77,5,0,1,0,34,53,0,284,Peaceful Area
EAST,3,10,5,0,2,2,16,40,0,13,Peaceful Area
EOW,0,0,0,0,0,0,0,2,0,0,Peaceful Area
