DISTRICT,Murder,Rape,Kidnapping Abduction,Dacoity,Robbery,Arson,Hurt,Protection of Civil Rights (PCR) Act,Prevention of atrocities (POA) Act,Other Crimes Against STs,Area
CHENNAI RLY.,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHENNAISUBURBAN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHHATARPUR,2,47,2,0,0,0,84,0,0,59,Peaceful Area
CHICKMAGALUR,2,1,0,0,0,0,3,0,23,19,Peaceful Area
CHIRANG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CHITRADURGA,3,6,1,1,0,3,48,4,78,62,Peaceful Area
CHITRAKOOT DHAM,2,0,0,0,0,0,0,0,27,10,Peaceful Area
CHITTOOR,0,0,0,0,0,0,2,0,12,0,Peaceful Area
CHURACHANDPUR,0,21,0,0,0,0,1,0,0,7,Peaceful Area
CHURU,1,2,1,0,0,0,44,0,1,27,Peaceful Area
CID,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CID CRIME,0,0,0,0,0,0,0,0,0,0,Peaceful Area
COIMBATORE RURAL,0,0,0,0,0,0,0,0,0,0,Peaceful Area
COIMBATORE URBAN,0,0,0,0,0,0,0,0,0,0,Peaceful Area
COOCHBEHAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CP AMRITSAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CP JALANDHAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CP LUDHIANA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CRIME BRANCH,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CRIME JAMMU,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CRIME SRINAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CSM NAGAR,0,0,0,0,0,0,0,0,0,0,Peaceful Area
CUDDALORE,0,0,0,0,0,0,2,0,0,0,Peaceful Area
CUDDAPAH,1,8,1,0,0,1,43,0,24,50,Peaceful Area
CUTTACK,0,3,0,0,0,0,1,0,13,10,Peaceful Area
D and N HAVELI,3,2,7,0,0,0,3,0,10,48,Peaceful Area
DAKSHIN DINAJPUR,0,6,1,0,0,0,0,0,2,17,Peaceful Area
DAKSHIN KANNADA,1,3,0,0,0,0,1,0,30,13,Peaceful Area
DAMAN,0,3,0,0,0,0,0,0,0,2,Peaceful Area
DANTEWADA,0,3,0,0,0,0,1,0,0,8,Peaceful Area
DANTEWARA,1,19,2,0,0,0,2,0,19,28,Peaceful Area
DARBHANGA,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DARJEELING,0,4,2,0,0,0,1,0,12,10,Peaceful Area
DARRANG,0,0,0,0,0,0,0,0,0,0,Peaceful Area
DATIYA,0,11,1,0,1,0,7,0,2,38,Peaceful Area
DAVANAGERE,0,3,0,0,0,0,10,2,119,107,Peaceful Area
DCP BBSR,0,0,0,0,0,0,3,0,13,23,Peaceful Area
DCP CTC,0,0,4,0,0,0,0,0,2,0,Peaceful Area
DEHRADUN,0,0,1,0,0,0,0,0,3,0,Peaceful Area
DEOGARH,1,6,2,0,2,2,28,4,17,28,Peaceful Area
DEOGHAR,0,6,0,0,0,0,9,14,45,7,Peaceful Area
DEORIA,0,0,0,0,0,0,0,0,0,15,Peaceful Area
DHALAI,0,0,0,0,0,0,0,0,1,1,Peaceful Area
DHAMTARI,4,30,1,0,0,0,5,0,3,117,Peaceful Area
DHANBAD,2,7,0,0,0,0,13,5,38,30,Peaceful Area
DHANBAD RLY.,0,4,2,0,0,0,0,0,3,1,Peaceful Area
DHARMAPURI,1,0,0,0,0,0,2,0,2,2,Peaceful Area
DHARWAD COMMR.,0,0,0,0,0,0,0,0,18,16,Peaceful Area
DHARWAD RURAL,2,1,0,0,0,0,8,0,89,79,Peaceful Area
DHOLPUR,2,0,1,0,0,0,40,0,44,78,Peaceful Area
DHUBRI,0,0,0,0,0,0,0,0,0,2,Peaceful Area
DHULE,6,16,2,3,1,2,15,0,41,64,Peaceful Area
