DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
TUENSANG,55,24,10,9,0,1,20,58,90,17,5,5,0,0,0,11,198,559,Peaceful Area
UDALGURI,325,88,219,395,245,71,101,421,749,89,127,720,23,0,266,283,1916,6226,Peaceful Area
UDHAMPUR,125,216,168,146,134,5,18,681,796,97,45,118,10,153,82,22,9092,12413,Peaceful Area
UDHAMSINGH NAGAR,626,592,235,689,559,105,393,823,4558,870,7,1234,174,60,853,1189,7256,21638,Peaceful Area
UDUPI,221,174,75,89,26,47,255,1533,1397,322,56,3512,11,12,295,85,17829,27894,Peaceful Area
UKHRUL,60,91,5,25,5,2,7,22,74,39,76,34,0,0,1,0,245,760,Peaceful Area
UMARIYA,243,104,308,31,17,9,125,1054,976,148,91,1704,42,55,270,83,9162,15583,Peaceful Area
UNA,111,62,100,109,87,7,25,639,790,263,72,1191,3,44,319,659,5458,10615,Peaceful Area
UNAKOTI,9,8,26,10,9,0,9,5,45,20,3,159,2,2,92,1,103,533,Peaceful Area
UPPER DIBANG VALLEY,12,5,0,2,1,0,2,32,18,0,0,18,0,0,0,6,42,148,Peaceful Area
UTTAR KANNADA,284,224,73,83,58,32,150,974,982,265,104,4345,17,48,625,0,20077,30179,Peaceful Area
UTTARKASHI,48,41,62,62,54,0,20,163,256,55,24,55,10,20,75,2,939,2106,Peaceful Area
VALSAD,406,125,92,205,154,129,199,1994,4061,397,80,2302,1,0,359,793,15021,27176,Peaceful Area
VIJAYAWADA RLY.,32,13,4,9,5,7,34,2,4227,43,1,146,4,15,10,41,467,5216,Peaceful Area
VILUPPURAM,68,83,49,49,49,1,13,102,306,21,36,468,9,5,59,567,3818,5959,Peaceful Area
W.RLY,133,39,16,41,24,53,542,184,8762,224,4,498,1,16,34,41,2659,13502,Peaceful Area
W.RLY AHMEDABAD,10,3,1,4,3,0,13,16,426,12,0,61,0,0,2,3,92,669,Peaceful Area
W.RLY VADODARA,10,1,0,4,3,5,12,4,944,52,0,84,0,0,1,5,105,1244,Peaceful Area
WARANGAL URBAN,108,43,82,124,82,3,41,475,1081,718,55,2136,47,153,742,701,2967,9896,Peaceful Area
WASHIM,359,276,217,205,180,87,302,1349,4692,341,334,5368,91,146,1454,1056,6761,25088,Peaceful Area
WAYANADU,141,88,394,62,40,31,137,1257,1437,1207,111,8315,17,106,1149,23,12386,30318,Peaceful Area
WOKHA,67,54,13,18,8,6,22,32,371,10,12,78,0,1,0,20,170,902,Peaceful Area
YADGIRI,74,109,23,68,20,6,15,165,204,88,38,983,5,12,175,267,1584,4620,Peaceful Area
YAMUNANAGAR,383,306,277,444,347,39,181,1847,4250,544,83,2241,93,54,1377,32,8741,21321,Peaceful Area
ZUNHEBOTO,58,32,18,6,6,3,22,112,200,11,0,44,0,0,0,3,213,731,Peaceful Area
