DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
CBCID,110,30,7,8,2,13,9,47,45,217,36,19,1,0,21,7,185,1339,Peaceful Area
CBPURA,228,210,55,119,85,19,117,620,1329,317,0,1856,44,4,229,8,4791,11337,Peaceful Area
CENTRAL,316,315,281,1085,665,11,357,1065,15587,1963,24,1755,45,131,606,124,13559,38329,Peaceful Area
CHAIBASA,1521,487,483,182,135,117,242,309,1485,172,51,425,39,7,181,290,3536,10278,Peaceful Area
CHAMARAJNAGAR,307,248,88,82,55,31,70,810,1495,197,55,5348,46,0,387,0,7426,18501,Peaceful Area
CHAMBA,119,40,142,185,173,0,6,1264,418,66,86,764,8,11,117,547,3464,7766,Peaceful Area
CHAMOLI,81,62,44,46,30,2,21,260,204,63,19,189,27,14,27,154,514,2011,Peaceful Area
CHAMPAWAT,53,36,22,30,24,6,24,73,148,29,7,189,13,3,27,109,331,1203,Peaceful Area
CHAMPHAI,55,24,122,7,1,1,5,517,830,58,18,147,0,0,0,16,392,2325,Peaceful Area
CHANDEL,120,135,4,27,3,20,14,21,48,15,46,99,0,0,0,5,275,911,Peaceful Area
CHANDIGARH,243,301,281,640,534,31,397,2947,18474,2301,62,816,42,143,807,98,11605,40807,Peaceful Area
CHANDOLI,306,236,62,182,139,10,117,366,873,518,25,1297,172,182,512,443,3345,9230,Peaceful Area
CHANGLANG,85,40,53,78,55,29,49,238,378,37,20,398,1,0,23,31,632,2201,Peaceful Area
CHATRA,437,246,170,167,125,245,256,266,1039,130,48,166,164,0,77,411,5586,10667,Peaceful Area
CHENGAI,308,386,97,114,95,25,158,1855,4301,464,51,3442,91,123,319,2303,28662,43561,Peaceful Area
CHENNAI RLY.,29,36,1,8,6,8,206,18,2265,60,0,348,7,14,8,51,2864,6097,Peaceful Area
CHENNAISUBURBAN,232,331,96,87,58,7,190,903,2152,524,16,1874,66,194,157,1759,10410,19404,Peaceful Area
CHICKMAGALUR,398,412,159,178,114,61,203,1832,2507,356,76,9579,56,59,1035,50,15158,34702,Peaceful Area
CHIRANG,214,11,199,281,246,51,55,265,432,66,82,252,14,0,402,184,1662,4505,Peaceful Area
CHITRADURGA,439,282,229,226,177,48,256,1454,2749,444,89,9739,73,2,648,1,23788,44979,Peaceful Area
CHITRAKOOT DHAM,317,113,190,180,91,20,51,348,523,192,40,426,136,10,130,517,1843,5551,Peaceful Area
CHURACHANDPUR,285,156,29,67,11,0,0,57,187,33,19,47,0,0,2,1,567,1553,Peaceful Area
CID,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,13,23,Peaceful Area
CID CRIME,5,0,2,0,0,0,0,0,2,23,0,0,0,0,0,0,3,54,Peaceful Area
COIMBATORE URBAN,261,281,100,172,81,23,347,1773,10784,1249,75,2583,42,117,570,2941,29658,52542,Peaceful Area
CP AMRITSAR,127,226,71,146,122,5,46,358,1063,802,14,440,19,5,293,218,1620,5604,Peaceful Area
CP JALANDHAR,72,136,70,141,109,7,60,517,1425,673,21,506,15,10,263,266,1455,5786,Peaceful Area
CP LUDHIANA,245,253,172,369,283,11,64,628,1885,1086,18,682,33,37,363,753,3257,10141,Peaceful Area
CRIME BRANCH,4,20,4,4,1,0,1,0,17,218,0,0,0,0,0,0,104,393,Peaceful Area
CRIME JAMMU,10,0,0,0,0,0,0,0,2,349,0,0,0,0,0,0,7,369,Peaceful Area
CRIME KASHMIR,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,32,Peaceful Area
CRIME SRINAGAR,4,0,0,0,0,0,0,0,2,612,0,0,0,0,0,0,1,686,Peaceful Area
CSM NAGAR,95,119,76,283,263,1,36,142,329,110,5,599,42,0,118,328,1367,4011,Peaceful Area
D and N HAVELI,108,31,56,141,94,40,30,388,773,171,55,318,1,4,38,148,1859,4651,Peaceful Area
DAHOD,496,181,87,418,389,356,551,1006,1845,65,286,4181,0,1,328,544,9036,20418,Peaceful Area
DAKSHIN DINAJPUR,369,764,473,710,600,16,73,63,1539,212,54,1526,138,13,2149,906,6943,17468,Peaceful Area
DAKSHIN KANNADA,386,429,127,132,70,66,290,2343,2768,910,235,5393,20,39,489,116,25409,42281,Peaceful Area
DAMAN,64,32,17,25,11,32,18,423,486,62,30,159,2,1,18,255,473,2398,Peaceful Area
DANTEWARA,790,696,136,93,60,146,39,551,608,67,135,652,7,9,50,441,3271,8092,Peaceful Area
DARJEELING,583,35,400,491,462,60,149,100,5760,207,70,5390,33,27,1346,1545,6408,24495,Peaceful Area
DATIYA,603,617,287,226,131,16,449,1204,1750,175,128,4920,122,0,333,818,14556,27410,Peaceful Area
DAVANAGERE,422,270,171,221,174,59,344,1949,3296,647,10,6103,106,25,1092,38,17337,36167,Peaceful Area
DCP BBSR,205,289,202,244,183,60,414,1377,5925,731,56,3699,95,51,248,858,6096,21234,Peaceful Area
DCP CTC,117,96,96,149,132,52,300,621,2784,267,17,126,41,12,439,675,5013,11211,Peaceful Area
DEOGARH,188,187,148,82,65,66,127,277,377,89,57,2057,24,26,162,374,1202,6364,Peaceful Area
DEOGHAR,567,526,435,209,69,171,273,1163,2304,267,76,2631,178,49,379,455,6622,18503,Peaceful Area
DEORIA,422,416,95,373,323,15,145,588,1190,521,59,1608,287,86,308,1079,5873,14425,Peaceful Area
DHALAI,282,81,220,230,90,30,88,246,316,53,66,828,26,1,382,169,1230,4735,Peaceful Area
DHAMTARI,194,112,334,83,67,18,69,1432,1435,218,57,1050,19,85,168,954,8826,16040,Peaceful Area
DHANBAD RLY.,87,1,12,28,13,205,212,60,1940,49,0,2,17,0,7,13,1093,3868,Peaceful Area
DHARWAD COMMR.,226,256,40,209,137,40,561,1596,3647,1334,75,2179,31,25,426,71,11573,23763,Peaceful Area
DHARWAD RURAL,323,221,44,87,38,28,63,371,668,184,18,1762,26,0,198,0,7533,13068,Peaceful Area
DHEMAJI,253,229,727,637,483,43,140,363,1398,239,156,2385,19,0,1058,478,2802,11695,Peaceful Area
DHENKANAL,494,603,244,272,226,100,518,848,2001,337,239,806,177,118,333,1091,7924,19155,Peaceful Area
DIBANG VALLEY,36,35,30,48,36,23,45,133,273,18,12,298,0,0,17,29,367,1444,Peaceful Area
DIMAPUR,323,83,63,225,38,44,729,466,1828,139,24,131,0,5,7,232,934,5415,Peaceful Area
DINDORI,243,62,370,27,22,2,27,451,340,103,39,1381,26,45,201,446,5862,10464,Peaceful Area
DIU,4,6,3,6,4,2,5,57,78,11,4,31,1,1,17,56,188,550,Peaceful Area
DODA,601,830,168,355,336,17,31,473,449,86,212,234,0,59,121,162,4680,8995,Peaceful Area
DUMKA,748,639,557,313,179,100,125,690,2027,216,128,2338,113,7,534,829,5555,16483,Peaceful Area
DUNGARPUR,298,164,259,565,532,7,136,607,802,544,247,1858,66,2,935,1249,12698,22460,Peaceful Area
EOW,0,0,0,0,0,0,0,0,0,672,0,0,0,3,0,0,90,783,Peaceful Area
ERNAKULAM,80,147,65,32,16,52,199,1241,2423,588,49,3509,4,9,340,5,20029,30516,Peaceful Area
FAIZABAD,577,375,224,656,605,29,241,847,2296,706,75,2211,174,263,432,1772,6544,19063,Peaceful Area
FARIDKOT,214,255,130,142,96,11,21,728,1051,855,24,1889,30,3,276,5,2865,8740,Peaceful Area
FATEHABAD,272,225,146,318,209,14,95,1307,2496,720,57,2075,80,83,1016,46,6690,16246,Peaceful Area
FATEHGARH,899,802,156,680,518,26,193,471,1431,518,20,1253,300,222,587,611,5098,14341,Peaceful Area
FATEHGARH SAHIB,192,131,105,160,91,4,40,613,1141,958,2,1526,37,20,192,1492,2434,9337,Peaceful Area
FAZILKA,59,51,53,65,43,0,2,120,233,175,0,351,5,0,65,111,475,1802,Peaceful Area
FEROZEPUR,190,225,109,75,47,4,13,426,698,481,22,1738,33,0,146,376,1272,6033,Peaceful Area
