DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
EAST GODAVARI,1041,1211,499,780,378,30,245,5069,13533,3273,479,31514,206,1584,4927,6655,18113,93193,Moderate Area
ERNAKULAM COMMR.,136,159,204,104,54,73,398,1689,3572,3159,56,4836,8,151,1055,15,85845,104786,Moderate Area
ERNAKULAM RURAL,266,241,297,118,83,74,452,2172,3500,1973,127,9241,15,168,1473,24,97176,122473,Moderate Area
ERODE,642,319,171,507,366,52,340,1707,6742,934,251,15755,39,88,432,6411,40565,76349,Moderate Area
ETAH,1477,1978,311,928,613,105,439,699,2997,1025,120,3040,553,170,907,1660,9633,28395,Moderate Area
ETAWAH,772,721,129,822,502,46,317,540,2170,760,72,1493,330,215,714,1859,9833,21910,Moderate Area
FARIDABAD,769,491,501,1111,851,76,357,3464,13989,631,105,2992,210,3648,1985,1306,28034,63980,Moderate Area
FATEHPUR,990,444,243,610,493,74,250,568,1250,822,21,2370,408,146,537,2138,7061,19206,Moderate Area
FIROZABAD,1406,1438,266,1361,893,140,724,755,4329,1063,80,3403,536,480,1123,1024,10536,31140,Moderate Area
GANGANAGAR,691,1066,791,792,685,4,143,2379,4605,7757,110,12004,192,16,6060,1868,22923,62875,Moderate Area
GANJAM,831,1558,414,370,279,158,633,1509,1892,328,365,2997,253,157,345,1326,7072,24398,Moderate Area
GAUTAMBUDH NAGAR,944,900,255,882,637,99,1068,1294,18613,2415,18,407,211,395,882,2340,10133,43200,Moderate Area
GAYA,2022,1265,329,1063,628,860,1257,1735,6197,1022,436,6399,615,0,589,2279,16935,48235,Moderate Area
GIRIDIH,790,723,482,465,274,546,413,1140,3310,501,144,1060,438,58,579,1139,13877,29221,Moderate Area
GOALPARA,414,130,770,829,732,211,140,834,1804,390,149,1767,35,0,1923,902,5262,17342,Moderate Area
GOLAGHAT,735,251,613,1120,959,100,362,998,3025,447,262,3772,12,0,1227,1442,3368,18697,Moderate Area
GONDA,540,623,217,680,560,97,267,959,1851,1502,47,2577,371,384,134,889,6009,18758,Moderate Area
GOPALGANJ,923,1204,251,929,587,177,437,788,2213,997,138,3934,380,23,1169,1061,13769,31510,Moderate Area
GORAKHPUR,1109,890,379,1272,1109,56,550,1887,6641,2140,39,3778,392,359,1535,3010,10022,37602,Moderate Area
GULBARGA,1182,1202,306,588,431,113,677,2558,3444,929,548,13278,95,7,1534,184,23604,57080,Moderate Area
GUNA,555,488,976,148,129,48,345,2533,3345,266,228,12060,102,199,632,1670,19667,46692,Moderate Area
GURGAON,933,591,407,729,521,200,922,5710,24520,1767,117,2089,214,422,1356,206,21940,64761,Moderate Area
HANUMANGARH,611,971,592,469,363,8,114,1286,3092,5121,123,5339,184,3,3529,1393,19428,43586,Moderate Area
HARDOI,1151,810,409,847,760,39,259,596,2280,754,74,3663,452,359,821,2218,10801,27326,Moderate Area
