DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
DUMKA,557,179,113,245,7,534,4,Peaceful Area
DUNGARPUR,259,532,66,643,2,935,0,Peaceful Area
DURG,1402,368,148,2835,329,1491,1,Moderate Area
EAST,720,1724,160,1075,173,1884,0,Moderate Area
EAST GODAVARI,499,378,206,1920,1584,4927,0,Sensitive Area
EOW,0,0,0,1,3,0,0,Peaceful Area
ERNAKULAM,65,16,4,332,9,340,0,Peaceful Area
ERNAKULAM COMMR.,204,54,8,746,151,1055,0,Peaceful Area
ERNAKULAM RURAL,297,83,15,1269,168,1473,0,Peaceful Area
ERODE,171,366,39,635,88,432,0,Peaceful Area
ETAH,311,613,553,492,170,907,0,Moderate Area
ETAWAH,129,502,330,311,215,714,0,Moderate Area
FAIZABAD,224,605,174,288,263,432,0,Peaceful Area
FARIDABAD,501,851,210,420,3648,1985,0,Sensitive Area
FARIDKOT,130,96,30,129,3,276,0,Peaceful Area
FATEHABAD,146,209,80,169,83,1016,0,Peaceful Area
FATEHGARH,156,518,300,259,222,587,0,Moderate Area
FATEHGARH SAHIB,105,91,37,70,20,192,0,Peaceful Area
FATEHPUR,243,493,408,364,146,537,0,Moderate Area
FAZILKA,53,43,5,6,0,65,0,Peaceful Area
FEROZEPUR,109,47,33,80,0,146,0,Peaceful Area
FEROZPUR,222,177,54,95,27,331,0,Peaceful Area
FIROZABAD,266,893,536,480,480,1123,0,Moderate Area
G.R.P,7,1,25,22,0,0,0,Peaceful Area
G.R.P.,53,90,22,361,340,32,0,Peaceful Area
G.R.P. AJMER,0,0,3,1,0,0,0,Peaceful Area
G.R.P. JODHPUR,2,0,0,1,2,0,0,Peaceful Area
G.R.P.(RLY),8,15,6,18,2,0,0,Peaceful Area
G.R.P.AJMER,6,11,1,22,0,0,0,Peaceful Area
G.R.P.JODHPUR,1,1,1,9,0,0,0,Peaceful Area
GADAG,44,41,28,357,2,313,0,Peaceful Area
GADCHIROLI,245,95,14,495,100,510,0,Peaceful Area
GAJAPATI,103,78,15,425,35,107,0,Peaceful Area
GANDERBAL,74,384,0,683,42,15,0,Peaceful Area
GANDHINAGAR,116,259,17,200,40,1652,0,Peaceful Area
GANGANAGAR,791,685,192,844,16,6060,0,Moderate Area
GANJAM,414,279,253,2671,157,345,0,Moderate Area
GARHWA,321,148,168,82,2,363,5,Peaceful Area
GARIYABAND,40,3,6,58,6,14,0,Peaceful Area
GARO HILLS EAST,29,8,0,28,1,0,0,Peaceful Area
GARO HILLS SOUTH,21,10,0,10,0,5,0,Peaceful Area
GARO HILLS WEST,92,78,2,151,5,45,0,Peaceful Area
GAUTAMBUDH NAGAR,255,637,211,392,395,882,0,Moderate Area
GAYA,329,628,615,209,0,589,8,Moderate Area
GHAZIABAD,357,1741,479,534,940,2922,0,Sensitive Area
GHAZIPUR,70,190,288,151,177,569,0,Peaceful Area
GIRIDIH,482,274,438,495,58,579,5,Moderate Area
GOALPARA,770,732,35,400,0,1923,4,Moderate Area
GODDA,521,182,68,131,0,397,0,Peaceful Area
GOLAGHAT,613,959,12,500,0,1227,0,Moderate Area
GOMATI,26,14,4,34,0,157,0,Peaceful Area
GONDA,217,560,371,279,384,134,0,Moderate Area
GONDIA,348,197,35,965,246,668,0,Peaceful Area
GOPALGANJ,251,587,380,134,23,1169,0,Moderate Area
GORAKHPUR,379,1109,392,439,359,1535,0,Moderate Area
GRP,15,23,77,47,1358,2,0,Peaceful Area
GRP RAIPUR,19,14,4,35,6,13,0,Peaceful Area
GRP(RLY),19,55,5,27,8,2,0,Peaceful Area
GULBARGA,306,431,95,1264,7,1534,0,Moderate Area
GUMLA,498,238,12,102,0,126,2,Peaceful Area
GUNA,976,129,102,2157,199,632,2,Moderate Area
GUNTAKAL RLY.,3,6,5,19,13,11,0,Peaceful Area
GUNTUR,526,705,234,2881,2252,5792,0,Sensitive Area
GUNTUR URBAN,69,65,28,218,248,1327,0,Peaceful Area
GURDASPUR,225,208,84,136,2,360,0,Peaceful Area
GURGAON,407,521,214,305,422,1356,0,Moderate Area
GUWAHATI CITY,682,2238,81,1098,0,1932,0,Moderate Area
GWALIOR,816,617,347,1967,161,1852,0,Moderate Area
HAILAKANDI,433,525,36,235,4,779,0,Peaceful Area
HAMIRPUR,206,290,176,512,142,483,0,Peaceful Area
HAMREN,3,12,0,2,0,3,0,Peaceful Area
HANDWARA,66,269,0,579,61,12,0,Peaceful Area
HANUMANGARH,592,363,184,888,3,3529,1,Moderate Area
HARDA,363,72,65,520,91,190,0,Peaceful Area
HARDOI,409,760,452,676,359,821,0,Moderate Area
HARIDWAR,343,598,159,365,605,1251,0,Moderate Area
HASSAN,209,150,123,965,2,1213,3,Peaceful Area
HATHRAS,244,502,267,496,195,1257,0,Moderate Area
HAVERI,75,40,30,540,0,445,0,Peaceful Area
HAZARIBAGH,550,458,394,360,0,662,0,Moderate Area
HIMATNAGAR,141,470,7,436,11,2305,0,Peaceful Area
HINGOLI,175,101,40,465,70,1223,0,Peaceful Area
HISSAR,287,422,197,338,110,2117,0,Moderate Area
HOOGHLY,574,715,188,457,10,7040,0,Moderate Area
HOSHANGABAD,745,219,152,1498,205,778,0,Moderate Area
HOSHIARPUR,325,222,117,169,22,711,0,Peaceful Area
HOWRAH,419,775,226,695,61,5265,0,Moderate Area
HOWRAH CITY,110,300,46,259,74,1458,0,Peaceful Area
HOWRAH G.R.P.,10,33,4,60,4,5,1,Peaceful Area
HYDERABAD CITY,712,690,397,2088,1741,14055,2,Sensitive Area
I.G.I. AIRPORT,1,5,0,14,5,1,0,Peaceful Area
IDUKKI,366,67,7,1668,149,1930,0,Moderate Area
IGI AIRPORT,1,5,0,36,6,2,0,Peaceful Area
IMPHAL EAST,47,187,0,65,0,32,0,Peaceful Area
IMPHAL WEST,81,264,2,118,1,52,0,Peaceful Area
