DISTRICT,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,DACOITY,ROBBERY,BURGLARY,THEFT,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Area
CHENGAI,308,386,97,114,95,25,158,1855,4301,464,51,3442,91,123,319,2303,28662,43561,Peaceful Area
CHENNAI,1365,2710,531,627,377,73,1039,6543,29379,6431,33,11699,271,2229,2212,10434,86221,164467,Sensitive Area
CHENNAI RLY.,29,36,1,8,6,8,206,18,2265,60,0,348,7,14,8,51,2864,6097,Peaceful Area
CHENNAISUBURBAN,232,331,96,87,58,7,190,903,2152,524,16,1874,66,194,157,1759,10410,19404,Peaceful Area
CHHATARPUR,717,822,744,305,248,28,579,3472,2739,361,262,6614,264,152,745,1313,29142,51353,Moderate Area
CHHINDWARA,846,385,1345,213,187,14,209,2164,3134,469,227,15147,160,376,1344,1900,21210,52310,Moderate Area
CHICKMAGALUR,398,412,159,178,114,61,203,1832,2507,356,76,9579,56,59,1035,50,15158,34702,Peaceful Area
CHIRANG,214,11,199,281,246,51,55,265,432,66,82,252,14,0,402,184,1662,4505,Peaceful Area
CHITRADURGA,439,282,229,226,177,48,256,1454,2749,444,89,9739,73,2,648,1,23788,44979,Peaceful Area
CHITRAKOOT DHAM,317,113,190,180,91,20,51,348,523,192,40,426,136,10,130,517,1843,5551,Peaceful Area
CHITTOOR,1270,739,368,907,531,96,207,2777,11077,2694,419,13543,262,2179,3283,8168,24575,75471,Moderate Area
CHITTORGARH,512,506,738,1709,1389,23,385,2857,6881,3523,438,19974,78,22,5473,2393,18445,67568,Moderate Area
CHURACHANDPUR,285,156,29,67,11,0,0,57,187,33,19,47,0,0,2,1,567,1553,Peaceful Area
CHURU,339,424,360,388,222,10,53,1155,2357,3335,164,7861,133,4,2840,1530,11938,33949,Moderate Area
CID,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,13,23,Peaceful Area
CID CRIME,5,0,2,0,0,0,0,0,2,23,0,0,0,0,0,0,3,54,Peaceful Area
COIMBATORE RURAL,816,662,197,524,389,104,592,2861,10673,1139,174,13866,103,219,973,8862,53511,99023,Moderate Area
COIMBATORE URBAN,261,281,100,172,81,23,347,1773,10784,1249,75,2583,42,117,570,2941,29658,52542,Peaceful Area
COOCHBEHAR,485,577,1217,1130,1036,42,90,118,2288,433,81,1268,139,12,3925,1065,11463,26418,Moderate Area
CP AMRITSAR,127,226,71,146,122,5,46,358,1063,802,14,440,19,5,293,218,1620,5604,Peaceful Area
CP JALANDHAR,72,136,70,141,109,7,60,517,1425,673,21,506,15,10,263,266,1455,5786,Peaceful Area
CP LUDHIANA,245,253,172,369,283,11,64,628,1885,1086,18,682,33,37,363,753,3257,10141,Peaceful Area
CRIME BRANCH,4,20,4,4,1,0,1,0,17,218,0,0,0,0,0,0,104,393,Peaceful Area
CRIME JAMMU,10,0,0,0,0,0,0,0,2,349,0,0,0,0,0,0,7,369,Peaceful Area
CRIME KASHMIR,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,32,Peaceful Area
CRIME SRINAGAR,4,0,0,0,0,0,0,0,2,612,0,0,0,0,0,0,1,686,Peaceful Area
CSM NAGAR,95,119,76,283,263,1,36,142,329,110,5,599,42,0,118,328,1367,4011,Peaceful Area
CUDDALORE,720,1368,294,630,534,39,281,1382,5424,269,429,10813,105,408,470,4918,57162,87567,Moderate Area
CUDDAPAH,1196,506,298,653,522,39,106,1549,4530,1894,337,14301,146,538,1790,4815,21993,58147,Moderate Area
CUTTACK,468,816,422,577,508,169,1134,2615,5931,831,232,1301,409,60,1382,3061,19987,40902,Moderate Area
CYBERABAD,1810,914,641,1398,857,141,765,11946,29665,11423,491,32697,437,3168,8932,10314,23701,141743,Sensitive Area
D and N HAVELI,108,31,56,141,94,40,30,388,773,171,55,318,1,4,38,148,1859,4651,Peaceful Area
DAHOD,496,181,87,418,389,356,551,1006,1845,65,286,4181,0,1,328,544,9036,20418,Peaceful Area
DAKSHIN DINAJPUR,369,764,473,710,600,16,73,63,1539,212,54,1526,138,13,2149,906,6943,17468,Peaceful Area
DAKSHIN KANNADA,386,429,127,132,70,66,290,2343,2768,910,235,5393,20,39,489,116,25409,42281,Peaceful Area
DAMAN,64,32,17,25,11,32,18,423,486,62,30,159,2,1,18,255,473,2398,Peaceful Area
DAMOH,565,684,567,195,137,16,284,1640,1828,187,177,14382,310,0,828,718,10234,34789,Moderate Area
DANTEWARA,790,696,136,93,60,146,39,551,608,67,135,652,7,9,50,441,3271,8092,Peaceful Area
DARBHANGA,767,1423,583,1104,672,261,341,855,3464,1626,340,3814,396,4,1648,1270,21879,45383,Moderate Area
DARJEELING,583,35,400,491,462,60,149,100,5760,207,70,5390,33,27,1346,1545,6408,24495,Peaceful Area
