DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
PURAB MIDNAPUR,0.0,0.0,36.0,0.0,1.0,0.0,21.0,1.0,29.0,1.0,89,Peaceful Area
PURI,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,Peaceful Area
PURNEA,12.0,24.0,136.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,187,Peaceful Area
PURULIA,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,Peaceful Area
R.P.O.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
RAIBAREILLY,32.0,110.0,146.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,358,Peaceful Area
RAICHUR,43.0,44.0,93.0,0.0,1.0,2.0,0.0,0.0,0.0,6.0,198,Peaceful Area
RAIGAD,24.0,94.0,69.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,262,Peaceful Area
RAILWAYS,7.0,1.0,12.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,62,Peaceful Area
RAILWAYS JAMMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
RAILWAYS KASHMIR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
RAILWAYS KATRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
RAILWAYS KMR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
RAILWAYSJMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
RAISEN,1.0,50.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148,Peaceful Area
RAJAHMUNDRY,1.0,9.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,68,Peaceful Area
RAJOURI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
RAJSAMAND,2.0,11.0,37.0,2.0,0.0,15.0,0.0,0.0,0.0,5.0,73,Peaceful Area
RAMABAI NAGAR,6.0,23.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191,Peaceful Area
RAMANAGAR,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8,Peaceful Area
RAMBAN,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
RAMGARH,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
RAMNATHAPURAM,19.0,28.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132,Peaceful Area
RAMPUR,65.0,86.0,225.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,399,Peaceful Area
RANCHI,8.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,29,Peaceful Area
RANGA REDDY,13.0,18.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,78,Peaceful Area
RATNAGIRI,13.0,122.0,50.0,0.0,0.0,33.0,3.0,0.0,0.0,1.0,300,Peaceful Area
RAYAGADA,3.0,76.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,116,Peaceful Area
REASI,1.0,6.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,24,Peaceful Area
REWARI,15.0,61.0,92.0,0.0,0.0,39.0,0.0,0.0,1.0,1.0,240,Peaceful Area
RI-BHOI,4.0,77.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,Peaceful Area
ROHTAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10,Peaceful Area
ROHTAS,13.0,10.0,225.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,260,Peaceful Area
ROPAR,6.0,23.0,63.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102,Peaceful Area
ROURKELA,1.0,43.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,Peaceful Area
RUDRA PRAYAG,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Peaceful Area
RURAL,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
S.T.F.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
SAHARANPUR,75.0,55.0,157.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,342,Peaceful Area
SAHARSA,13.0,16.0,110.0,1.0,0.0,0.0,44.0,0.0,0.0,1.0,190,Peaceful Area
SAHEBGANJ,0.0,4.0,9.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,23,Peaceful Area
SAIHA,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,Peaceful Area
SALEM RURAL,62.0,122.0,323.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,524,Peaceful Area
SALEM URBAN,39.0,96.0,112.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,258,Peaceful Area
SAMASTIPUR,42.0,44.0,249.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,353,Peaceful Area
SAMBA,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,Peaceful Area
SAMBALPUR,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,Peaceful Area
SANGRUR,24.0,45.0,24.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,124,Peaceful Area
SANT KABIRNAGAR,27.0,74.0,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,263,Peaceful Area
SARAIKELA,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Peaceful Area
SARAN,18.0,29.0,315.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,380,Peaceful Area
SAS NGR,9.0,28.0,89.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,138,Peaceful Area
SBS NAGAR,5.0,30.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,75,Peaceful Area
SEALDAH G.R.P.,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,Peaceful Area
SECUNDERABAD RLY.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Peaceful Area
SENAPATI,5.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,Peaceful Area
SEONI,43.0,182.0,29.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,906,Peaceful Area
SERCHHIP,2.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,Peaceful Area
SHEIKHPURA,12.0,5.0,62.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,85,Peaceful Area
SHEOHAR,2.0,2.0,49.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,72,Peaceful Area
SHEOPUR,3.0,28.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,139,Peaceful Area
SHIMLA,8.0,97.0,101.0,0.0,2.0,18.0,3.0,0.0,0.0,2.0,253,Peaceful Area
SHIMOGA,46.0,86.0,46.0,0.0,0.0,5.0,44.0,0.0,0.0,2.0,232,Peaceful Area
SHOPIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Peaceful Area
SHRAWASTI,24.0,32.0,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,192,Peaceful Area
SIANG EAST,0.0,31.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,Peaceful Area
SIANG UPPER,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,Peaceful Area
SIANG WEST,0.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Peaceful Area
SIBSAGAR,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,Peaceful Area
SIDHARTHNAGAR,38.0,52.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258,Peaceful Area
SIKAR,35.0,118.0,205.0,1.0,0.0,36.0,0.0,0.0,0.0,1.0,398,Peaceful Area
SILIGURI G.R.P.,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,7,Peaceful Area
SILIGURI_PC,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,Peaceful Area
SIMDEGA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Peaceful Area
SINDHUDURG,18.0,41.0,30.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,129,Peaceful Area
