DISTRICT,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Total,Area type
LUCKNOW,145.0,238.0,672.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,1251,Sensitive Area
LUDHIANA,48.0,128.0,345.0,9.0,0.0,51.0,0.0,0.0,1.0,1.0,626,Sensitive Area
MAHABOOBNAGAR,50.0,286.0,261.0,4.0,1.0,18.0,30.0,0.0,0.0,1.0,694,Sensitive Area
MAINPURI,70.0,68.0,224.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,407,Sensitive Area
MANDLA,36.0,323.0,56.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,425,Sensitive Area
MATHURA,76.0,107.0,370.0,2.0,9.0,0.0,1.0,0.0,0.0,5.0,659,Sensitive Area
MEDAK,74.0,240.0,97.0,1.0,0.0,35.0,110.0,0.0,0.0,9.0,601,Sensitive Area
MEERUT,194.0,168.0,660.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1305,Sensitive Area
MORADABAD,174.0,215.0,454.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,962,Sensitive Area
MUMBAI,29.0,369.0,153.0,5.0,2.0,8.0,7.0,0.0,3.0,0.0,1021,Sensitive Area
MUMBAI COMMR.,86.0,700.0,680.0,12.0,8.0,153.0,8.0,1.0,4.0,0.0,2865,Sensitive Area
MUZAFFARNAGAR,172.0,109.0,403.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,743,Sensitive Area
MUZAFFARPUR,65.0,31.0,435.0,0.0,0.0,0.0,15.0,0.0,7.0,15.0,568,Sensitive Area
NAGPUR COMMR.,71.0,342.0,381.0,2.0,13.0,90.0,1.0,1.0,6.0,5.0,1895,Sensitive Area
NAGPUR RURAL,33.0,243.0,131.0,1.0,1.0,44.0,0.0,0.0,0.0,5.0,685,Sensitive Area
NALGONDA,12.0,432.0,459.0,4.0,0.0,40.0,0.0,0.0,0.0,9.0,958,Sensitive Area
NANDED,80.0,144.0,219.0,8.0,0.0,148.0,0.0,0.0,0.0,6.0,866,Sensitive Area
NARSINGHPUR,24.0,288.0,40.0,0.0,10.0,26.0,0.0,0.0,0.0,0.0,1099,Sensitive Area
NASIK COMMR.,33.0,82.0,90.0,1.0,6.0,82.0,0.0,0.0,0.0,5.0,318,Sensitive Area
NASIK RURAL,86.0,296.0,87.0,4.0,9.0,179.0,77.0,0.0,0.0,1.0,950,Sensitive Area
NAVI MUMBAI,41.0,159.0,99.0,3.0,0.0,43.0,25.0,0.0,0.0,0.0,822,Sensitive Area
NORTH,40.0,246.0,922.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,1456,Sensitive Area
NORTH-EAST,59.0,314.0,2272.0,5.0,0.0,38.0,0.0,1.0,3.0,0.0,3069,Sensitive Area
NORTH-WEST,69.0,590.0,2289.0,4.0,2.0,40.0,1.0,2.0,0.0,1.0,3447,Sensitive Area
OSMANABAD,60.0,155.0,105.0,1.0,10.0,71.0,0.0,0.0,0.0,3.0,567,Sensitive Area
OUTER,25.0,269.0,2374.0,4.0,0.0,27.0,0.0,0.0,0.0,0.0,2786,Sensitive Area
PALAKKAD,88.0,200.0,42.0,2.0,0.0,19.0,2.0,0.0,0.0,4.0,480,Sensitive Area
PANIPAT,27.0,228.0,187.0,0.0,3.0,46.0,0.0,0.0,0.0,0.0,535,Sensitive Area
PARBHANI,62.0,91.0,85.0,0.0,0.0,56.0,10.0,0.0,0.0,17.0,351,Sensitive Area
PATIALA,19.0,71.0,127.0,39.0,0.0,1.0,0.0,0.0,0.0,5.0,295,Sensitive Area
PATNA,60.0,49.0,682.0,0.0,0.0,4.0,58.0,1.0,1.0,20.0,893,Sensitive Area
PRATAPGARH,56.0,279.0,359.0,4.0,0.0,21.0,0.0,0.0,0.0,1.0,786,Sensitive Area
PUNE RURAL,132.0,347.0,240.0,4.0,0.0,142.0,2.0,0.0,0.0,1.0,1342,Sensitive Area
RAIGARH,38.0,190.0,64.0,0.0,7.0,7.0,0.0,0.0,0.0,5.0,547,Sensitive Area
RAIPUR,87.0,792.0,285.0,26.0,11.0,7.0,0.0,0.0,0.0,1.0,2127,Sensitive Area
RAJGARH,8.0,251.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1774,Sensitive Area
RAJKOT COMMR.,32.0,39.0,242.0,1.0,4.0,76.0,16.0,0.0,0.0,5.0,596,Sensitive Area
RAJKOT RURAL,68.0,90.0,252.0,5.0,0.0,55.0,0.0,0.0,0.0,10.0,569,Sensitive Area
RAJNANDGAON,14.0,229.0,59.0,3.0,6.0,0.0,0.0,0.0,0.0,9.0,729,Sensitive Area
RATLAM,26.0,299.0,88.0,7.0,2.0,47.0,0.0,0.0,0.0,5.0,894,Sensitive Area
REWA,33.0,268.0,87.0,5.0,5.0,91.0,8.0,0.0,0.0,1.0,1692,Sensitive Area
SAGAR,39.0,326.0,139.0,38.0,0.0,27.0,0.0,0.0,0.0,0.0,1648,Sensitive Area
SANGLI,85.0,279.0,132.0,3.0,16.0,114.0,12.0,0.0,2.0,28.0,764,Sensitive Area
SARGUJA,35.0,398.0,136.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,854,Sensitive Area
SATARA,99.0,232.0,194.0,6.0,3.0,122.0,0.0,0.0,0.0,9.0,951,Sensitive Area
SATNA,54.0,459.0,43.0,5.0,7.0,166.0,97.0,0.0,0.0,0.0,1854,Sensitive Area
SAWAI MADHOPUR,10.0,43.0,118.0,17.0,6.0,24.0,0.0,0.0,0.0,0.0,218,Sensitive Area
SHAHDOL,22.0,219.0,48.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,760,Sensitive Area
SHAHJAHANPUR,142.0,168.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,616,Sensitive Area
SHAJAPUR,25.0,234.0,82.0,2.0,1.0,48.0,1.0,0.0,1.0,5.0,951,Sensitive Area
SHIVPURI,57.0,282.0,57.0,5.0,1.0,15.0,0.0,0.0,0.0,0.0,431,Sensitive Area
SIDHI,50.0,217.0,177.0,17.0,0.0,49.0,0.0,0.0,0.0,3.0,989,Sensitive Area
SIHORE,32.0,213.0,45.0,2.0,0.0,14.0,1.0,0.0,1.0,1.0,1069,Sensitive Area
SITAPUR,90.0,201.0,693.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1032,Sensitive Area
SOLAPUR COMMR.,23.0,98.0,101.0,13.0,0.0,73.0,1.0,0.0,0.0,2.0,375,Sensitive Area
SOLAPUR RURAL,94.0,125.0,85.0,2.0,7.0,129.0,11.0,0.0,0.0,5.0,497,Sensitive Area
SOUTH,87.0,529.0,1394.0,6.0,1.0,80.0,0.0,1.0,0.0,0.0,2375,Sensitive Area
SOUTH-EAST,32.0,255.0,1701.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,2158,Sensitive Area
SOUTH-WEST,53.0,339.0,1658.0,22.0,0.0,38.0,0.0,0.0,0.0,0.0,2473,Sensitive Area
SURAT COMMR.,108.0,164.0,332.0,5.0,10.0,138.0,11.0,0.0,0.0,1.0,821,Sensitive Area
SURENDRANAGAR,32.0,100.0,203.0,1.0,1.0,48.0,0.0,0.0,0.0,7.0,508,Sensitive Area
THANE COMMR.,73.0,370.0,500.0,2.0,1.0,144.0,26.0,3.0,0.0,3.0,1460,Sensitive Area
THANE RURAL,57.0,119.0,133.0,16.0,0.0,21.0,3.0,0.0,1.0,0.0,510,Sensitive Area
TIKAMGARH,38.0,245.0,76.0,0.0,7.0,50.0,0.0,0.0,0.0,3.0,1238,Sensitive Area
TRIVANDRUM RURAL,27.0,322.0,111.0,0.0,3.0,2.0,42.0,0.0,0.0,0.0,617,Sensitive Area
UDAIPUR,52.0,142.0,283.0,3.0,0.0,98.0,0.0,0.0,0.0,1.0,642,Sensitive Area
UJJAIN,131.0,287.0,110.0,1.0,3.0,24.0,0.0,0.0,0.0,0.0,1431,Sensitive Area
UNNAO,116.0,172.0,324.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,783,Sensitive Area
VADODARA RURAL,30.0,89.0,462.0,0.0,0.0,34.0,0.0,0.0,0.0,12.0,642,Sensitive Area
VELLORE,54.0,112.0,258.0,0.0,0.0,53.0,0.0,0.0,0.0,8.0,491,Sensitive Area
VIDISHA,44.0,359.0,92.0,21.0,6.0,2.0,0.0,0.0,0.0,0.0,1606,Sensitive Area
VIJAYAWADA CITY,10.0,137.0,264.0,0.0,0.0,48.0,0.0,0.0,0.0,5.0,1001,Sensitive Area
WARANGAL,96.0,271.0,429.0,0.0,36.0,1.0,0.0,0.0,0.0,24.0,1156,Sensitive Area
WEST,68.0,675.0,2043.0,7.0,0.0,48.0,66.0,0.0,0.0,2.0,3286,Sensitive Area
WEST GODAVARI,35.0,332.0,281.0,1.0,6.0,2.0,11.0,2.0,0.0,0.0,706,Sensitive Area
YAVATMAL,35.0,237.0,274.0,1.0,0.0,88.0,0.0,0.0,0.0,4.0,771,Sensitive Area
