DISTRICT,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Area type
EOW,0,0,0,1,3,0,0,Peaceful Area
ERNAKULAM,65,16,4,332,9,340,0,Peaceful Area
ERNAKULAM COMMR.,204,54,8,746,151,1055,0,Peaceful Area
ERNAKULAM RURAL,297,83,15,1269,168,1473,0,Peaceful Area
ERODE,171,366,39,635,88,432,0,Peaceful Area
FAIZABAD,224,605,174,288,263,432,0,Peaceful Area
FARIDKOT,130,96,30,129,3,276,0,Peaceful Area
FATEHABAD,146,209,80,169,83,1016,0,Peaceful Area
FATEHGARH SAHIB,105,91,37,70,20,192,0,Peaceful Area
FAZILKA,53,43,5,6,0,65,0,Peaceful Area
FEROZEPUR,109,47,33,80,0,146,0,Peaceful Area
FEROZPUR,222,177,54,95,27,331,0,Peaceful Area
G.R.P,7,1,25,22,0,0,0,Peaceful Area
G.R.P.,53,90,22,361,340,32,0,Peaceful Area
G.R.P. AJMER,0,0,3,1,0,0,0,Peaceful Area
G.R.P. JODHPUR,2,0,0,1,2,0,0,Peaceful Area
G.R.P.(RLY),8,15,6,18,2,0,0,Peaceful Area
G.R.P.AJMER,6,11,1,22,0,0,0,Peaceful Area
G.R.P.JODHPUR,1,1,1,9,0,0,0,Peaceful Area
GADAG,44,41,28,357,2,313,0,Peaceful Area
GADCHIROLI,245,95,14,495,100,510,0,Peaceful Area
GAJAPATI,103,78,15,425,35,107,0,Peaceful Area
GANDERBAL,74,384,0,683,42,15,0,Peaceful Area
GANDHINAGAR,116,259,17,200,40,1652,0,Peaceful Area
GARHWA,321,148,168,82,2,363,5,Peaceful Area
GARIYABAND,40,3,6,58,6,14,0,Peaceful Area
GARO HILLS EAST,29,8,0,28,1,0,0,Peaceful Area
GARO HILLS SOUTH,21,10,0,10,0,5,0,Peaceful Area
GARO HILLS WEST,92,78,2,151,5,45,0,Peaceful Area
GHAZIPUR,70,190,288,151,177,569,0,Peaceful Area
GODDA,521,182,68,131,0,397,0,Peaceful Area
GOMATI,26,14,4,34,0,157,0,Peaceful Area
GONDIA,348,197,35,965,246,668,0,Peaceful Area
GRP,15,23,77,47,1358,2,0,Peaceful Area
GRP RAIPUR,19,14,4,35,6,13,0,Peaceful Area
GRP(RLY),19,55,5,27,8,2,0,Peaceful Area
GUMLA,498,238,12,102,0,126,2,Peaceful Area
GUNTAKAL RLY.,3,6,5,19,13,11,0,Peaceful Area
GUNTUR URBAN,69,65,28,218,248,1327,0,Peaceful Area
GURDASPUR,225,208,84,136,2,360,0,Peaceful Area
HAILAKANDI,433,525,36,235,4,779,0,Peaceful Area
HAMIRPUR,206,290,176,512,142,483,0,Peaceful Area
HAMREN,3,12,0,2,0,3,0,Peaceful Area
HANDWARA,66,269,0,579,61,12,0,Peaceful Area
HARDA,363,72,65,520,91,190,0,Peaceful Area
HASSAN,209,150,123,965,2,1213,3,Peaceful Area
HAVERI,75,40,30,540,0,445,0,Peaceful Area
HIMATNAGAR,141,470,7,436,11,2305,0,Peaceful Area
HINGOLI,175,101,40,465,70,1223,0,Peaceful Area
HOSHIARPUR,325,222,117,169,22,711,0,Peaceful Area
HOWRAH CITY,110,300,46,259,74,1458,0,Peaceful Area
HOWRAH G.R.P.,10,33,4,60,4,5,1,Peaceful Area
I.G.I. AIRPORT,1,5,0,14,5,1,0,Peaceful Area
IGI AIRPORT,1,5,0,36,6,2,0,Peaceful Area
IMPHAL EAST,47,187,0,65,0,32,0,Peaceful Area
IMPHAL WEST,81,264,2,118,1,52,0,Peaceful Area
IMPHAL(EAST),25,73,0,18,0,2,0,Peaceful Area
IMPHAL(WEST),34,151,0,101,0,12,0,Peaceful Area
INDORE RLY.,22,7,3,52,7,2,0,Peaceful Area
J.P.NAGAR,290,397,165,297,390,762,0,Peaceful Area
JABALPUR RLY.,22,8,4,68,16,1,0,Peaceful Area
JAGATSINGHPUR,259,274,189,171,21,570,0,Peaceful Area
JAGDALPUR,743,139,18,553,25,210,0,Peaceful Area
JAGRAON,109,69,20,55,17,149,0,Peaceful Area
JAINTIA HILLS,236,31,0,58,0,0,0,Peaceful Area
JAIPUR EAST,193,402,60,310,4,1338,0,Peaceful Area
JAIPUR NORTH,171,424,67,228,0,1410,0,Peaceful Area
JAIPUR RURAL,260,541,103,573,15,1581,0,Peaceful Area
JAIPUR SOUTH,120,317,50,169,0,1342,0,Peaceful Area
JAIPUR WEST,61,132,10,43,0,465,0,Peaceful Area
JAISALMER,45,67,68,202,0,245,1,Peaceful Area
JALANDHAR,365,594,112,321,7,1023,0,Peaceful Area
JALANDHAR RURAL,68,59,7,58,7,115,0,Peaceful Area
JALAUN,82,285,364,326,204,419,0,Peaceful Area
JALORE,134,308,121,589,0,1239,0,Peaceful Area
JAMALPUR RLY.,6,6,5,14,0,2,0,Peaceful Area
JAMNAGAR,192,312,8,260,46,2806,0,Peaceful Area
JAMSHEDPUR RLY.,11,19,3,24,0,6,0,Peaceful Area
JAMTARA,238,87,64,122,2,258,0,Peaceful Area
JAMUI,290,215,201,189,2,450,0,Peaceful Area
JASHPUR,713,190,16,554,36,186,0,Peaceful Area
JEHANABAD,101,142,252,74,0,262,0,Peaceful Area
